target_id,RA,Dec,mag1,mag2,author,snr,count
505808304072634240,27.14255274951982,58.047491501670464,12.262855,12.262855,ch,100,3
2578428129471717376,20.01436212600316,8.095610714082955,12.395865,12.395865,ch,100,3
1728342810401554304,205.30019338139704,86.424389043277,12.788674,12.788674,ch,100,3
544958270997789056,38.00087115009332,69.79455168291325,12.6528,12.6528,ch,100,3
530846485932702848,0.7414744912760425,70.47314493160415,11.58397,11.58397,ch,100,3
1151139131835022336,143.46786692761816,86.36730871386013,12.640583,12.640583,ch,100,3
2645543693620920448,352.0066084491577,1.4127111175222733,10.943755,10.943755,ch,100,3
572782340449467008,40.7736663384338,84.57415749742945,12.280874,12.280874,ch,100,3
370889117707288832,16.009785803016147,39.40460114335443,12.145634,12.145634,ch,100,3
1727533221949738624,218.412139936391,86.0251357916931,12.069531,12.069531,ch,100,3
1116873298632348544,91.73840922770346,77.97717340424572,12.48822,12.48822,ch,100,3
1717439739566683648,184.00802489533683,78.61442068875894,11.757244,11.757244,ch,100,3
574755719006674688,41.69774816725437,86.61919460699906,11.654408,11.654408,ch,100,3
2276718359239671552,316.8206326400916,73.40228251017115,12.724794,12.724794,ch,100,3
525762687763933440,18.879936468046782,67.3343549286983,12.264595,12.264595,ch,100,3
2286755285494231680,338.5326096813325,80.6277443991356,10.851711,10.851711,ch,100,3
358152581170816256,32.002835055598425,49.28441086769019,12.872088,12.872088,ch,100,3
2637146001764994688,348.01158617419713,-3.998272741270271,12.627977,12.627977,ch,100,3
2443120613649476096,0.0295034746670494,-5.391121326133948,11.426335,11.426335,ch,100,3
1131276145041556352,148.950953262663,78.05225562486564,11.196767,11.196767,ch,100,3
2748830956941068800,4.012902071854608,7.860938740124104,12.735867,12.735867,ch,100,3
505808235353158528,27.159997848403638,58.03528632523517,12.96461,12.96461,ch,100,3
349096453648225536,28.00395306763991,42.82735439248345,12.581784,12.581784,ch,100,3
1718835951831653888,208.1825029561376,80.7121911721401,11.620344,11.620344,ch,100,3
1126315865835837568,149.9469042657094,74.36993507140747,12.75905,12.75905,ch,100,3
571831327314749440,78.92600988702614,86.0073674276752,12.141965,12.141965,ch,100,3
3265126188158857728,48.02978488712015,-1.9809345263700575,12.296558,12.296558,ch,100,3
530915510347368320,5.616106076269468,70.09163904368789,11.923524,11.923524,ch,100,3
2286652103199539456,352.74011545720595,81.94162224408106,12.925956,12.925956,ch,100,3
293680552212234624,20.01005766126837,24.804271542916226,12.19116,12.19116,ch,100,3
2483411285241278208,20.011944789927654,-3.48873187988416,11.568314,11.568314,ch,100,3
1994512447823327232,356.00468560687244,55.54031652045867,12.76927,12.76927,ch,100,3
1724731979856126976,252.28655349297216,86.15783003704993,12.947492,12.947492,ch,100,3
467850035940769536,45.758055920666365,63.99433558614606,10.612798,10.612798,ch,100,3
454715338755995776,40.00222384294617,56.35555775527585,11.8854,11.8854,ch,100,3
1140616805558490496,97.6132946859484,77.47486215953197,12.923113,12.923113,ch,100,3
2279082721557908096,334.24337465197544,74.27447946300862,11.890484,11.890484,ch,100,3
571099950220602240,60.67518494833188,84.48643199076027,12.332481,12.332481,ch,100,3
2226321728387980416,336.6607375295852,70.03291705263211,10.930684,10.930684,ch,100,3
1916670254384524672,348.0003010401976,37.28702786978112,11.725789,11.725789,ch,100,3
561724444633813376,40.053063999311455,78.86251867716344,12.915042,12.915042,ch,100,3
1720035858318725376,192.8246234645117,82.69813446561825,12.3159485,12.3159485,ch,100,3
1722638784594740352,242.22998847893533,81.59603654860706,12.955853,12.955853,ch,100,3
1131284013421622912,150.18029884377717,78.01593450901042,12.895907,12.895907,ch,100,3
1126786220589797120,156.13546009330457,75.18561876088765,12.92987,12.92987,ch,100,3
1134446655539815296,165.75772155140322,82.14017873598353,11.130759,11.130759,ch,100,3
84834060887227008,40.00637705277513,19.578075025192916,11.850709,11.850709,ch,100,3
1719207208804880640,197.80046660097983,82.09231655295555,12.147923,12.147923,ch,100,3
2303298159488494720,286.60321660963683,86.01793149006578,12.871446,12.871446,ch,100,3
1366899111780480,44.00343147299775,2.5314001779419395,12.313192,12.313192,ch,100,3
496238464093971712,76.3817579520383,70.01036218190744,12.016161,12.016161,ch,100,3
2279081480310506752,334.21426417660143,74.21340725256962,12.692861,12.692861,ch,100,3
20865019843645824,44.01748263661638,8.750880919738782,10.60048,10.60048,ch,100,3
2817423096486417024,348.00455375744826,16.272497132505954,12.493782,12.493782,ch,100,3
2864970171160885632,356.0104077552195,26.93598113220453,12.536336,12.536336,ch,100,3
